student_id,prolog_score,haskell_score,TotalScore,BinaryScore,avDiffratioAlll,avDiffratioCompleted,avdiffDeadline.1,nmbrDecemberSubs,nmbrCompleteDecemberSubs,nmbrJanuarySubs,nmbrCompleteJanuarySubs,nmbrSuccessTestsJanuary,nbCompleteOnTimeSubs.1,nmbDaySubsOnTIme,nmbrAlmostCheat.1,nmbrCheat.1,nmbDaySubsOnTImeCompleted,nmbDaySubsOnTImeCompleted.1,nbMorningCompleteSubs,nDayCompleteSubs,nbMorningSubs,nmbDaySubs,nmbNightSubs,nmbrOctoberSubs,nmbrCompleteOctoberSubs,avNmbrShort_05,avNmbrQuiteShort_075,avNmbrLong_2,avNmbrAroundSol_0.25,avStyleLengthCompltedSubsJanuary,avStyleLengthCompltedSubsOctober,avStyleLength,Avsubtime,nmbrCompleteSubs
4c52cb4b389af0960f478140229e0244,3.7,6,9.7,0,1.01,2.42,0.95,47,0,29,17,111,3,149,55,9,3,3,2,24,2,315,5,37,4,0,0.38,0.03,0.59,8,66,43.45,2.02E+11,4
09f41f27c891e95e2f70a89266040b8e,4,5,9,0,1.46,3.87,0.57,40,10,108,8,479,0,24,23,4,0,0,4,24,54,193,5,29,6,0.45,0.28,0,0.28,49.5,66,80.14,2.02E+11,6
05913c335ff55ca3cf7d163e0d733ee3,0.6,8,8.6,0,1.22,1.92,2.87,233,52,50,10,259,0,0,38,0,0,0,9,61,81,217,0,15,8,0,0,0.6,0.2,31.2,71,178.46,2.02E+11,8
66d6e7248bac3a745db922c987f51e31,6.6,1.5,8.1,0,1.13,1.22,0.44,181,22,119,23,783,2,59,73,10,2,2,9,40,66,334,0,1,1,1,0,0,0,142.61,284,267.76,2.02E+11,1
b7978f4543f443b87bab5e9c4014f12e,6.2,1,7.2,0,1.01,1.27,0.86,327,52,239,68,1310,4,144,128,6,4,4,52,83,258,506,0,42,7,0.1,0.4,0.02,0.45,198.88,17.71,155.91,2.02E+11,7
263bb00b9ef59bb5c0c4514f3e2e6296,3.2,2.5,5.7,0,1.95,4.3,0.7,0,0,125,31,619,5,49,48,8,5,5,26,29,73,207,0,66,13,0.14,0.67,0.02,0.12,533.55,20.31,356.51,2.02E+11,13
f24a9ec03468fa40bd16c3c16028d4e1,0.5,3.5,4,0,1.92,4.91,1.41,131,14,16,2,128,0,56,32,1,0,0,2,24,13,237,16,7,3,0,0.29,0.14,0.43,546,0,238.71,2.02E+11,3
d87fd4d5c3dd8aae2d586b9c1a033f63,10,10,20,1,3.11,9.09,1.06,133,31,261,33,1430,55,317,94,3,54,54,2,126,62,692,0,121,16,0.18,0.44,0.07,0.29,348,45.25,204.97,2.02E+11,16
fdd712806dab629531811ab11a4bd38a,3.9,9,12.9,1,4.09,32.65,2.35,144,16,1,0,0,23,530,54,5,22,22,3,54,30,805,0,108,22,0.14,0.13,0.18,0.4,0,156.18,2691.44,2.02E+11,22
db77a291b4546f4e11fcdf2b4246366b,4.6,6.5,11.1,1,1.26,1.87,1.37,505,21,218,24,901,8,238,147,9,8,8,6,80,104,951,0,100,23,0.27,0.3,0.16,0.23,595.33,10.78,484.28,2.02E+11,23
a706bb348b2a0c23e35ae11e4d68fc17,2.4,6.5,8.9,0,1.52,1.45,0.97,34,0,366,84,1932,5,114,125,26,5,5,25,85,151,522,33,74,24,0.07,0.39,0.07,0.47,220.38,27,188.3,2.02E+11,24
2397c3522cdac891621be1ac875cc447,1.8,6.5,8.3,0,0.95,1.45,1.1,5,3,279,46,1779,4,73,69,6,4,4,30,42,122,333,0,76,18,0.21,0.51,0.03,0.24,624.7,14.67,425.44,2.02E+11,18
d708902cfdde6b967ad225dd2fa74f34,9.2,10,19.2,1,1.13,2.53,1.03,182,18,90,13,567,50,347,127,2,37,37,15,94,113,541,15,97,36,0.55,0.22,0.08,0.15,281.85,38.89,320.51,2.02E+11,36
bf1eeefa71248ac09aef70f7bc770846,9.7,9,18.7,1,2.18,6.92,1.54,229,44,225,47,1768,28,286,132,3,19,19,17,143,95,822,90,166,39,0.37,0.2,0.08,0.32,306.38,61.64,272.2,2.02E+11,39
c83e71bf5144e9b6e60f5d8605c520e5,10,7.5,17.5,1,1.05,1.74,1.62,421,27,634,109,3289,9,305,160,8,9,9,39,129,245,1175,25,47,17,0.32,0.11,0.09,0.32,392.55,165.18,410.33,2.02E+11,17
a8836d86c27aaa231bac177797d12bc8,6.9,7,13.9,1,1.69,10.23,1.02,199,13,39,2,235,19,571,166,9,16,16,2,58,22,1107,30,229,25,0.39,0.27,0.07,0.2,10,94.72,815.37,2.02E+11,25
ad737f5ea55311035d7dbf4541d9232b,6.6,6.5,13.1,1,2.12,1.75,1.28,109,6,88,28,702,25,267,56,5,21,21,20,65,87,494,30,143,26,0.34,0.16,0.08,0.22,696.86,128.92,819.21,2.02E+11,26
ded3953480e33642d98307db672b0c56,4.8,6,10.8,1,0.96,1.97,1.64,98,7,57,4,500,6,334,79,4,5,5,9,24,100,549,7,47,13,0.51,0.11,0.11,0.17,195,75.69,391.18,2.02E+11,13
731d73b073df3e4bff70b89fc2f31323,10,10,20,1,5.24,12.34,1,190,44,8,5,211,50,149,64,3,22,22,0,63,0,285,176,64,30,0.08,0.25,0.06,0.61,970.4,463.33,645.11,2.02E+11,30
83ac5e2447cfb2b3becd5c434e08f108,7.2,8.5,15.7,1,1.65,2.89,2.28,275,56,284,29,2558,31,408,153,4,25,25,6,138,85,940,153,37,7,0.54,0.16,0.05,0.24,402.48,35.43,164.64,2.02E+11,7
09500d3c864a02fbf4c800f5a305259e,6.8,7,13.8,1,4.71,21.68,1.61,301,23,121,25,1226,6,40,82,4,4,4,1,73,18,536,18,62,23,0.06,0.35,0.1,0.21,1790.08,24.35,1106.68,2.02E+11,23
09500d3c864a02fbf4c800f5a305259e,1.6,3,4.6,0,4.71,21.68,1.61,301,23,121,25,1226,6,40,82,4,4,4,1,73,18,536,18,62,23,0.06,0.35,0.1,0.21,1790.08,24.35,1106.68,2.02E+11,23
