student_id,TotalScore,BinaryScore,Tabel.nmbrExtraEx,Tabel.nmbrExtraTestSuccess,Tabel (2).nmbrExtraExPoints,Tabel (2).nmbrExtraTestSuccessPoints,Tabel (3).nmbrImportance3Ex,Tabel (3).nmbrImportance3ExSuccess,Tabel (4).nmbrImportance3ExPoints,Tabel (4).nmbrImportance3ExSuccessPoints,Tabel (5).nmbrImportance2Ex,Tabel (5).nmbrImportance2ExSuccess,Tabel (6).nmbrImportance2ExPoints,Tabel (6).nmbrImportance2ExPointsSuccessPoints,Tabel (7).nmbrPointsAwardedImportance3,Tabel (8).nmbrPointsAwardedImportance2,Tabel (9).nmbrPointsAwardedOnExtraEx,Tabel (10).averageEachAssignmentSubmitted,Tabel (11).nmbrSubmissionsLastWeek,Tabel (12).nmbrExtraExCompleted,Tabel (13).nmbrImportance2ExCompleted,Tabel (14).nmbrImportance3ExCompleted,Tabel (15).nmbrImportance0ExCompleted,Tabel (17).averSolSubmDiff,Tabel (18).nmbrSuccessSubmissionsLastWeek,Tabel (22).nmbrSuccesTestsLastWeek,Tabel (23).nmbrSucessTestImportance0,Tabel (24).nmbrSucesTestsImportance2,Tabel (25).nmbrSuccesTestsImportance3,Tabel (26).nmbrSubmissionsLastWeek,Tabel (27).nmbrPointsLast3Weeks,Tabel (28).nmbrPointsFirst3Weeks,Tabel (29).nmbrPoints,Tabel (30).averSolSubmDiffRatio,Tabel (31).averSolSubmImportance3DiffRatio,Tabel (32).useraverSolSubmImportance2DiffRatio,Tabel (33).useruseraverSolSubmImportance0DiffRatio,Tabel (34).nmbrCheat,Tabel (35).avTimeBeforeExam
952dd801db0c5decf0f185021445112c,5.599999905,1,0,0,0,0,138,626,0,0,0,0,0,0,0,0,0,20.1667,0,0,0,2,18,-23.6,0,0,0,0,0,0,0,480,1080,0.967680694,1.186542824,0,0.94336268,2,20995969.53
7778d80908ace05501a05067b903b7e2,6,1,88,364,5,25,253,609,0,0,48,245,5,25,0,81,81,40.4231,0,2,2,2,22,-260.1538462,0,0,0,0,0,0,0,921,1903,1.159576236,1.252898802,1.60475162,1.110621876,12,62698516.81
852e96e1c38699fa8cbba0a2efb70f2d,4.599999905,0,0,0,0,0,34,134,8,59,0,0,0,0,177,0,0,6.6111,0,0,0,0,17,318.5882353,0,0,0,0,0,0,177,514,1569,0.888404182,0,0,0.888404182,0,59708416.84
a357f1dc55f01a1aca48bba495f91521,6.199999809,1,0,0,0,0,44,207,0,0,0,0,0,0,0,0,0,22.25,0,0,0,0,29,-83.31034483,0,0,0,0,0,0,0,840,840,1.068164183,0,0,1.068164183,1,19541322.13
a6b1010af4fc455ee5abb604dcf918f7,6.699999809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6875,0,0,0,0,34,354.7058824,0,0,0,0,0,0,0,720,1685,0.959977461,0,0,0.959977461,5,88227475.01
9d0c4080db434e2ab16c80ce2b994f92,4,0,0,0,0,0,61,23,4,11,0,0,0,0,58,0,0,28.4,0,0,0,0,15,-6.4,0,0,0,0,0,0,58,782,1677,1.048159023,0,0,1.048159023,8,74590411.19
21bb687b6250655933cad690986e1b4b,3.200000048,0,0,0,0,0,6,88,0,0,0,0,0,0,0,0,0,6.5385,0,0,0,3,14,5.882352941,0,0,0,0,0,0,0,212,212,1.045714749,1.009266965,0,1.053524988,4,34050174.51
9059cac8ef91d4185a32df283f1861df,8.800000191,1,8,31,0,0,79,93,0,0,8,31,0,0,0,0,0,8.2,12,0,0,0,5,32,3,0,0,0,0,0,0,428,850,0.994915878,0,0,0.994915878,0,46756853.92
5c46f79ebaa80cfb2fd3ae1d20a47e4c,2.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5833,0,0,0,0,14,-31.42857143,0,0,0,0,0,0,0,651,891,1.057039413,0,0,1.057039413,1,57125350.69
c255d5ab87f0d4fc12f3c725df81195b,3.700000048,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,9.7059,0,0,0,0,20,-31.4,0,0,0,0,0,0,0,21,21,1.020037188,0,0,1.020037188,6,18060559.09
0d6760b38e52aa80c85686d5e8d3ce01,8,1,58,179,13,110,178,1097,6,73,56,179,13,110,281,338,338,26.1034,0,1,1,2,20,98.08695652,0,0,0,0,0,0,281,1178,2643,0.999494198,1.306818182,0.634782609,0.986339652,0,78381881.69
1b3389c4ef5d90bedb2a23843041ed68,7,1,54,551,16,196,108,832,9,124,32,327,16,196,296,660,660,13.8667,54,8,4,7,39,948.8,28,0,0,0,0,0,296,1500,2971,0.888345013,0.760665293,0.838233095,0.919608033,1,64261013.91
047477f4513b822bf8ea2e90e3ae6c23,6.099999905,1,171,1270,11,106,158,882,14,186,119,679,11,106,420,203,203,32.1923,0,21,13,12,91,3.206896552,0,0,0,0,0,0,420,1130,2635,1.10240496,1.05338948,1.315888218,1.078370932,2,52159766.7
8c11e5b8ca8d0e6c25cac18d8816656f,6.900000095,1,70,80,10,71,429,1866,17,258,14,70,7,65,840,118,126,33.4,94,0,0,9,36,544.8888889,65,0,0,0,0,0,840,1128,2960,0.92997263,1.032020767,0,0.90214132,2,86551218.32
c61aa89c6acf0f0f03a807c9c360de1d,8.199999809,1,63,744,25,351,86,850,15,230,29,260,12,149,786,693,1179,10.75,0,12,5,16,42,-164.3174603,0,0,0,0,0,0,420,2340,4129,1.146302215,1.274148163,1.170723578,1.094691691,3,66423971.52
3ac71773a93aa5ce134297073f65e65c,6,1,13,18,2,9,0,0,0,0,13,18,2,9,0,44,44,14.4,0,0,0,0,6,110.6666667,0,0,0,0,0,0,0,524,524,0.870229714,0,0,0.870229714,0,82191182.86
d4d395f8f3879cec9059f5caf2acb4b7,6.300000191,1,208,867,16,149,158,599,9,77,152,867,16,149,164,540,540,38.3793,41,4,4,0,33,217.1891892,41,0,0,0,0,0,0,1380,2726,1.01848354,0,0.668478261,1.060908422,7,69884091.75
d7b3d7f219607351da0d512e42359f13,2.099999905,0,44,150,5,31,20,45,4,21,44,150,5,31,118,81,81,25.4,0,3,3,0,21,-95,0,0,0,0,0,0,118,873,1258,1.115045401,0,1.01799856,1.129602427,4,88163811.66
9196c77374a9fba5b2dfd78bf6363dc8,4.199999809,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,34,30.58823529,0,0,0,0,0,0,0,515,521,0.971846775,0,0,0.971846775,10,63838222.14
6b6d7ccb2d17389de91cd8135aaacb5a,1.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8421,0,0,0,0,36,-2.111111111,0,0,0,0,0,0,0,840,840,0.991199134,0,0,0.991199134,16,46007488.09
2e44816bce3457a098c46886c3d5f73e,2.900000095,0,0,0,0,0,145,505,8,59,0,0,0,0,177,0,0,26.7917,70,0,0,0,41,131.804878,58,0,0,0,0,0,177,764,2021,1.028076005,0,0,1.028076005,2,61397129.12
b07aced80770ac794f423aa3d6cb97db,5.800000191,1,11,10,0,0,173,829,0,0,0,0,0,0,0,0,0,29.3913,0,0,0,5,16,706.8571429,0,0,0,0,0,0,0,792,971,0.990213702,0.817667947,0,1.04413425,2,56063322.8
c651b390081ca52ab27831e96a0ac4c3,0,0,5,21,0,0,24,5,0,0,0,0,0,0,0,0,0,31.9474,29,0,0,0,22,88.54545455,24,0,0,0,0,0,0,720,1363,0.927951696,0,0,0.927951696,7,73627776.96
2a1c534db1e5b9c40c72d9d88020d554,1.5,0,69,127,1,1,104,289,4,16,31,93,1,1,70,11,11,24.2759,9,0,0,2,42,64.54545455,9,0,0,0,0,0,70,960,1686,0.992592505,1.17263986,0,0.983809707,8,68587954.63
f48e83dd4c91e50a0990b2c1bd5e1b02,2.299999952,0,17,135,0,0,22,183,0,0,0,0,0,0,0,0,0,17.6842,0,0,0,1,11,611.6666667,0,0,0,0,0,0,0,445,583,0.962863874,0.575441996,0,0.998084045,0,55690606.53
68d3998b8e5a4e3feb881dd104f18913,4.5,0,4,0,0,0,285,771,0,0,0,0,0,0,0,0,0,51.4348,0,0,0,1,44,-132,0,0,0,0,0,0,0,731,1827,1.039283198,1.112762238,0,1.03739912,6,48443578.61
af7831fc58d3d823584f6e71a4620e00,9.199999809,1,150,489,26,242,137,560,7,62,87,449,22,230,222,782,799,26.3929,37,4,4,2,39,456.1777778,17,0,0,0,0,0,222,1620,3311,0.907684803,1.103166987,0.801006053,0.908651036,4,75921588.69
28b9896f63c023e221fd2fd360509561,6,1,217,1226,45,636,246,1464,40,784,83,588,19,252,2548,771,1222,21.8421,0,6,4,17,36,523.2280702,0,0,0,0,0,0,502,2151,5924,0.891936838,0.705507407,0.93433069,0.99906987,9,73766528.9
bb33d46997db3c72f076c7017f82d29a,3.299999952,0,19,95,6,40,278,952,0,0,19,95,6,40,0,147,147,24.0769,0,0,0,1,36,34.37837838,0,0,0,0,0,0,0,1027,1027,0.950271114,1.008637236,0,0.948388336,19,50679009.54
362b41bc9fe47c9a90c3a3af90eb796c,7.5,1,0,0,0,0,109,721,0,0,0,0,0,0,0,0,0,9.3125,0,0,0,5,9,-332.8571429,0,0,0,0,0,0,0,216,1066,1.167641398,1.150087566,0,1.177393527,0,24471187.13
e9030117eef88951c64623ea5489e3f5,9.399999619,1,13,17,1,3,245,1327,10,114,13,17,1,3,311,33,33,20.3214,0,0,0,16,41,79.01754386,0,0,0,0,0,0,311,930,2439,1.072163557,1.072842958,0,1.071884829,2,50238584.84
f5f9f366fb533b8cd5f7f4f4284bf33b,6.800000191,1,54,488,15,180,155,547,0,0,54,488,15,180,0,587,587,18.4783,0,2,2,0,24,94.46153846,0,0,0,0,0,0,0,1547,2052,0.981205275,0,1.044412621,0.975937996,2,57632957.74
d6967ecb99d0e0c7ecd1de62a55da433,5.699999809,1,120,443,0,0,510,2387,9,68,72,420,0,0,192,0,0,41.8824,0,3,3,8,38,463.6734694,0,0,0,0,0,0,192,960,2359,0.954609766,0.8434471,0.875459114,0.992168208,4,63122359.95
eee2c576a5ab73f945b6edb32219b192,7.099999905,1,7,3,0,0,1,0,0,0,7,3,0,0,0,0,0,13.7895,0,0,0,0,30,328.1333333,0,0,0,0,0,0,0,720,1240,0.937600345,0,0,0.937600345,3,82351403.25
584ae28eda2369cd254fe3205f6300c3,7.900000095,1,215,1064,0,0,249,1157,0,0,75,379,0,0,0,0,0,21.7273,0,9,4,14,33,135.6078431,0,0,0,0,0,0,0,120,120,0.987098209,1.025197188,0.942056997,0.974483178,17,12611054.95
d9261d30ce2a5a533903600b4b03214f,2.299999952,0,0,0,0,0,300,854,11,151,0,0,0,0,340,0,0,43.7619,0,0,0,6,31,940.8648649,0,0,0,0,0,0,340,822,1949,0.940803372,0.613950687,0,1.004065182,8,65471424.57
75115b399a9102a633dc85e69770b3be,6.400000095,1,60,841,23,429,315,2426,3,69,31,283,15,214,420,880,1420,14.3947,324,6,4,29,33,-1175.333333,44,0,0,0,0,0,0,2580,3700,1.485960151,1.540843609,1.45448007,1.427332151,1,22725934.37
52ab2505048fe6b8061c1d7f147daef2,0.899999976,0,44,281,14,220,223,1026,30,489,25,217,11,159,3780,880,1420,23.5278,0,8,6,19,40,239.2,0,0,0,0,0,0,840,1620,7370,0.958073269,1.054745624,0.775876435,0.938505013,8,83354742.76
e63a86d19edf6ea36fcbb8a450e21959,4,0,0,0,0,0,71,500,0,0,0,0,0,0,0,0,0,24.5,79,0,0,6,30,-60.88888889,79,0,0,0,0,0,0,720,1658,1.024375327,1.073621476,0,1.014526097,4,69072557.95
2d8c37a5003f4ed6209e0381992f43e7,5.400000095,1,67,176,3,11,259,1330,17,223,67,176,3,11,420,66,66,33.3448,1,0,0,1,30,146.7096774,1,0,0,0,0,0,420,677,2472,1.025810199,1.467657343,0,1.00944549,15,67664702.07
9dae0307529eb060cfcb0e73b61f8076,6.300000191,1,112,393,11,109,219,526,9,98,90,387,11,109,281,188,188,35.6522,0,0,0,3,21,902.6666667,0,0,0,0,0,0,281,802,2711,1.050809738,0.682086058,0,1.10611829,1,81264635.6
cd3f31c00b35b19fefd635f1a2b89be6,7.900000095,1,0,0,0,0,76,96,5,40,0,0,0,0,192,0,0,9.0714,0,0,0,0,5,144,0,0,0,0,0,0,192,360,1022,0.833762224,0,0,0.833762224,1,73665110.83
f327b5118042c428a8a4aee38c562bd5,9.399999619,1,107,720,26,307,129,1024,12,204,100,720,26,307,840,880,880,18.2353,0,7,7,19,52,949.2820513,0,0,0,0,0,0,840,2234,4280,1.001233143,0.982779599,1.113757952,0.991934073,4,62587847.5
49f937d25b3b088e99fbd75499d9d55b,4.5,0,174,398,22,181,323,1516,2,4,115,398,22,181,44,598,598,32.9714,107,3,3,0,48,-404.0784314,106,0,0,0,0,0,44,1870,2773,0.995145137,0,0.888405797,1.003799678,12,69555518.34
b17d998e6aa8b0ea2b56fe6e2bdf12b7,3.5,0,245,1773,52,691,112,693,12,207,67,549,25,287,1680,880,1420,21.8125,0,18,7,6,53,420.2424242,0,0,0,0,0,0,120,1620,5080,0.950101746,1.017565055,0.898759114,0.949194117,8,80122433.72
a456c4050e08099ba862bef8ae5dc8de,9,1,168,872,0,0,208,840,12,180,95,345,0,0,420,0,0,21,0,6,4,7,33,-865,0,0,0,0,0,0,420,960,2630,1.392120144,1.320801251,1.043310592,1.449528339,4,43889039.7
b252a94dd5c51487dcfde2482770f0a4,4.800000191,0,0,0,0,0,53,114,0,0,0,0,0,0,0,0,0,15.6154,0,0,0,0,12,54.33333333,0,0,0,0,0,0,0,240,486,0.947340234,0,0,0.947340234,6,20200517.38
50958cd9cace77f7c16025171764d327,9.199999809,1,10,118,7,83,7,114,6,99,4,70,3,46,420,497,547,3.5,3,1,1,1,23,33.44,3,0,0,0,0,0,420,1662,3332,1.104719026,1.180944056,0.608695652,1.123800769,2,89647927.44
d8a2732ec9a8ca0ffb2963f6190d325f,4.199999809,0,2,0,0,0,15,7,1,3,0,0,0,0,44,0,0,5.2222,0,0,0,0,10,-4,0,0,0,0,0,0,44,240,334,0.982884209,0,0,0.982884209,1,31683192.43
18a6c46539fe3889969c11cc0f9e69fa,3.799999952,0,0,0,0,0,133,994,13,186,0,0,0,0,420,0,0,20.6,0,0,0,10,40,-500.88,0,0,0,0,0,0,420,760,1992,1.246839764,1.414947552,0,1.204812817,4,75719896.87
0ef10f55e2de7b6b2c7a9bbceca1b52e,6.900000095,1,219,1328,7,48,473,2133,3,78,122,920,7,48,420,136,136,41.3636,110,10,7,21,55,-183.6626506,88,0,0,0,0,0,420,1063,2531,1.022538205,1.030526868,0.921501003,1.034266432,10,74148955.62
ff54eac4ed58315522318d64e4a27a48,7.300000191,1,0,0,0,0,6,87,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,20,216.4,0,0,0,0,0,0,0,360,600,1.08210951,0,0,1.08210951,1,17281904.02
9da6695ac660014a49e424f50c51b6b5,5.300000191,1,40,144,0,0,286,920,7,51,0,0,0,0,295,0,0,25.3182,0,0,0,10,24,411.0588235,0,0,0,0,0,0,295,0,295,0.993967984,1.014467528,0,0.985426507,2,80029274.05
54a1b5af63977d858d818a5141547485,6.699999809,1,0,0,0,0,112,446,0,0,0,0,0,0,0,0,0,12.4762,0,0,0,1,19,76.4,0,0,0,0,0,0,75,0,75,0.900288446,1.121503497,0,0.888645549,3,32566127.03
e8ee05ab939ba54b3145d98b8cc9ca10,7.5,1,0,0,0,0,38,320,12,183,0,0,0,0,420,0,0,9,0,0,0,3,16,497.0526316,0,0,0,0,0,0,420,840,2087,0.886732717,1.21037296,0,0.826050172,3,88090857.49
0587de009df87fa1ff2329468c0d65f0,7.099999905,1,41,423,0,0,101,439,1,17,7,86,0,0,251,0,0,8.2069,44,6,4,0,34,-91.36842105,6,0,0,0,0,0,251,840,2027,1.012331582,0,0.868887116,1.029207402,1,63921101.69
295af4d0bdda11ee4314527b58be331e,4.800000191,0,13,125,8,89,7,130,6,130,13,125,8,89,710,580,580,2.1923,0,2,2,0,20,351.6363636,0,0,0,0,0,0,710,2020,3602,0.838290287,0,0.627257525,0.859393563,0,88544778.88
165793ae4a9ad47cd4cc079fec75b8f1,5.699999809,1,23,272,7,121,266,747,6,42,23,272,7,121,162,440,440,22.6552,0,3,3,4,32,389.7435897,0,0,0,0,0,0,162,1400,2728,0.937763985,0.715303944,0.946183703,0.965653695,1,71992062.41
003fc6d5db12ad3092a0867de90bf3bd,3.5,0,35,307,12,180,22,77,0,0,35,307,12,180,0,590,590,6.2778,0,2,2,0,13,349.3333333,0,0,0,0,0,0,0,1670,1910,0.926598055,0,0.826941497,0.943207482,0,53921234.47
7245a727bf171ee35e94b95519ea3416,9.100000381,1,139,485,0,0,124,412,7,54,51,233,0,0,222,0,0,18.7143,0,3,3,8,35,1232.086957,0,0,0,0,0,0,222,960,2424,0.913907613,0.525758183,0.94467559,0.999990228,3,54075007.26
9787da2bb0bfaa193958098f8ef1f6e5,8.699999809,1,215,335,0,0,263,479,0,0,87,236,0,0,0,0,0,26.6774,34,5,4,5,40,440.5714286,34,0,0,0,0,0,0,682,829,0.955771999,0.774158169,0.847089832,0.989341945,4,35897934.78
bcb0e38f8032aaa630429a726b4ef558,10,1,263,1599,35,508,210,1279,35,574,114,488,13,144,3360,880,1420,18.9167,0,27,23,14,46,298.2168675,0,0,0,0,0,0,840,2521,6890,0.980284223,0.993223247,1.193676318,0.86193156,0,79863357.53
2e6c8bb261f80af78e9775b7330a5c6a,9.800000191,1,59,683,17,321,216,1607,35,546,33,264,7,113,3780,880,1420,12.4474,3,12,7,26,55,137.6363636,1,0,0,0,0,0,1680,2100,7420,0.978244567,0.942295785,1.037281156,0.989107322,1,84557787.85
595eb4adc320c2eaddc910a5fcab9188,1.5,0,43,355,21,233,34,272,15,194,43,355,21,233,420,693,693,16.24,0,4,4,1,25,145.3333333,0,0,0,0,0,0,420,1690,3233,0.979806699,1.58041958,1.070096145,0.941335872,2,79984074.09
9539f6db5fa42440719a928aab9947f3,7,1,37,328,9,158,4,18,2,4,33,289,9,158,44,440,440,6.96,0,4,3,0,26,-86.20689655,0,0,0,0,0,0,44,1603,1937,1.096486147,0,1.136404044,1.091880236,1,43918654.91
3931eae4cdc0412af1a5f55122c10d61,9.600000381,1,107,889,35,475,59,809,28,426,55,544,21,260,3780,880,1420,10.5,0,9,7,19,43,-97.97101449,0,0,0,0,0,0,840,1837,7420,1.083985951,1.119683817,1.195677893,1.047483375,2,85681235.85
b8b8ef0da58f58a8a7e6279467ad0374,8.899999619,1,119,950,12,165,133,1055,9,117,14,57,3,48,366,473,839,17.0714,0,2,2,5,29,284.5555556,0,0,0,0,0,0,0,1249,2668,0.982219843,1.068153268,0.897361255,0.973256052,0,62417164.33
779d12e657973333eb73de327e7cdee1,4.800000191,0,0,0,0,0,71,533,1,9,0,0,0,0,133,0,0,9.375,0,0,0,4,11,23.2,0,0,0,0,0,0,133,600,1063,0.951561792,1.005069481,0,0.927780597,2,55012128.28
74ae2a87098dab7bc38c2d52e780f5eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,2,-72,0,0,0,0,0,0,0,240,240,1.123161765,0,0,1.123161765,0,53007928.44
d68882c14f8d9e2e5cbc0857560d952a,8.699999809,1,243,1283,21,142,410,2811,0,0,177,945,18,136,0,580,588,35.9459,96,9,9,28,66,396.1553398,89,0,0,0,0,0,0,1371,2810,0.917690252,0.896783709,0.928950032,0.925373509,15,38053501.69
8178d6766a506fc5334b6f901b487b7e,1.299999952,0,3,32,0,0,19,69,0,0,0,0,0,0,0,0,0,14.4545,0,0,0,0,25,385.6,0,0,0,0,0,0,0,610,1362,0.873641497,0,0,0.873641497,2,32857737.48
b7f8085f52d8a5e22a97415bf2e08b5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,11,111.2727273,0,0,0,0,0,0,0,716,716,0.923629561,0,0,0.923629561,1,50518003.15
6c844bd8e1ff08dbf3d62ad78c3f1860,5.699999809,1,137,902,0,0,250,1600,6,42,81,507,0,0,162,0,0,27.6452,137,17,13,16,56,364.6117647,80,0,0,0,0,0,162,840,2217,0.935791006,0.879970139,0.992986515,0.938613502,8,71330199.51
9e2dcf88e60577a0755bcbdecabf6c49,5.300000191,1,0,0,0,0,91,201,0,0,0,0,0,0,0,0,0,29.9524,0,0,0,0,39,61.74358974,0,0,0,0,0,0,0,840,1143,0.957373821,0,0,0.957373821,4,30837415.12
ebe38b40974cc3a40250813793ae8949,2.299999952,0,115,356,19,237,71,127,0,0,113,322,18,203,0,660,780,29.7241,0,6,5,0,52,-55.71929825,0,0,0,0,0,0,0,2032,3152,1.081888251,0,1.030758251,1.086804597,0,79247816.98
d76fbf415532c34651f3cfdf5ea19526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0588,0,0,0,0,32,797,0,0,0,0,0,0,0,840,1875,0.848685516,0,0,0.848685516,1,78031623.07
bbf628d2231fd779b4e84b6dd9e131ea,7.099999905,1,133,615,25,247,143,648,16,224,83,454,22,241,420,693,701,24.7857,0,4,3,2,25,23.2,0,0,0,0,0,0,420,1782,3571,0.976767126,1.043977502,0.900864172,0.98049865,2,83964869.67
85dc0008b99233d12656f686d3bd530f,4.5,0,0,0,0,0,158,720,0,0,0,0,0,0,0,0,0,35.3684,0,0,0,0,28,89.71428571,0,0,0,0,0,0,75,806,1127,0.903609153,0,0,0.903609153,2,56338419.32
bdd84fff7b2c7a9601a8c837819abe15,4.400000095,0,14,54,0,0,60,159,4,21,13,54,0,0,118,0,0,23.4231,0,0,0,0,39,197.2307692,0,0,0,0,0,0,118,840,2013,1.001907831,0,0,1.001907831,11,55906489.38
3c8ae9ab5e5526114477e99179a8ad12,4.800000191,0,20,150,8,65,0,0,0,0,19,147,7,62,0,543,551,9.5455,0,5,5,0,26,-46.96774194,0,0,0,0,0,0,0,1349,2004,1.036107012,0,0.972040134,1.048427565,4,43296649.78
a6e461e3129d69ca06e7df48b49d5ef4,2.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9091,0,0,0,0,10,98.4,0,0,0,0,0,0,0,120,330,0.9164892,0,0,0.9164892,0,89840019.76
69c8c5036e6ac574992ffab02d9ede06,6.800000191,1,30,335,18,247,92,1404,27,499,18,176,13,160,1990,782,1202,6.1389,8,5,3,11,26,-83.8,8,0,0,0,0,0,0,1740,4907,1.036175014,1.137561702,0.923800959,1.003752872,2,67437253.09
f8316b954d25592fdc856f54dc1a6169,8.199999809,1,57,220,0,0,179,1318,0,0,26,104,0,0,0,0,0,30.68,0,0,0,1,30,251.0967742,0,0,0,0,0,0,0,480,1328,0.979594266,0.556309034,0,0.995271497,7,38933155.58
0afa2f3d4503bc07e89088694b0f7b53,4.699999809,0,0,0,0,0,286,1072,0,0,0,0,0,0,0,0,0,29.5357,53,0,0,6,42,605.25,53,0,0,0,0,0,120,960,1080,0.941029799,0.800698221,0,0.962619273,10,42768629.54
1da955b0d1979be32c8697c80ff17cea,8.100000381,1,128,545,6,39,133,530,10,95,80,401,6,39,251,136,136,37.4074,0,10,7,4,75,87.90697674,0,0,0,0,0,0,251,1063,2544,1.034984274,1.179689195,0.995595881,1.030942928,7,54842675.13
0cb368d5a3c35ffbc0f5f2a234d468e1,4.5,0,0,0,0,0,31,161,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,18,74.44444444,0,0,0,0,0,0,0,240,240,0.934189301,0,0,0.934189301,5,10359677.17
